Date,Dividends,Stock Splits,Ticker,Company
2005-02-25 00:00:00+05:30,0.6,0.0,PNB.NS,Punjab National Bank
2005-05-20 00:00:00+05:30,0.56,0.0,AXISBANK.NS,Axis Bank
2005-05-26 00:00:00+05:30,0.225,0.0,HDFCBANK.NS,HDFC Bank
2005-06-16 00:00:00+05:30,0.6,0.0,PNB.NS,Punjab National Bank
2005-06-17 00:00:00+05:30,1.179401,0.0,SBIN.NS,State Bank of India
2005-07-15 00:00:00+05:30,0.125,0.0,KOTAKBANK.NS,Kotak Mahindra Bank
2005-08-04 00:00:00+05:30,1.545455,0.0,ICICIBANK.NS,ICICI Bank
2005-08-25 00:00:00+05:30,0.0,2.5,KOTAKBANK.NS,Kotak Mahindra Bank
2005-11-29 00:00:00+05:30,0.6,0.0,PNB.NS,Punjab National Bank
2006-05-11 00:00:00+05:30,0.275,0.0,HDFCBANK.NS,HDFC Bank
2006-05-16 00:00:00+05:30,0.7,0.0,AXISBANK.NS,Axis Bank
2006-06-19 00:00:00+05:30,1.320929,0.0,SBIN.NS,State Bank of India
2006-06-22 00:00:00+05:30,1.2,0.0,PNB.NS,Punjab National Bank
2006-07-06 00:00:00+05:30,1.545455,0.0,ICICIBANK.NS,ICICI Bank
2006-07-07 00:00:00+05:30,0.15,0.0,KOTAKBANK.NS,Kotak Mahindra Bank
2007-02-14 00:00:00+05:30,0.8,0.0,PNB.NS,Punjab National Bank
2007-05-17 00:00:00+05:30,0.9,0.0,AXISBANK.NS,Axis Bank
2007-05-17 00:00:00+05:30,0.35,0.0,HDFCBANK.NS,HDFC Bank
2007-06-07 00:00:00+05:30,1.2,0.0,PNB.NS,Punjab National Bank
2007-06-13 00:00:00+05:30,1.320929,0.0,SBIN.NS,State Bank of India
2007-06-14 00:00:00+05:30,1.818182,0.0,ICICIBANK.NS,ICICI Bank
2007-06-22 00:00:00+05:30,0.175,0.0,KOTAKBANK.NS,Kotak Mahindra Bank
2008-04-29 00:00:00+05:30,0.425,0.0,HDFCBANK.NS,HDFC Bank
2008-05-22 00:00:00+05:30,1.2,0.0,AXISBANK.NS,Axis Bank
2008-05-29 00:00:00+05:30,2.6,0.0,PNB.NS,Punjab National Bank
2008-05-29 00:00:00+05:30,2.15,0.0,SBIN.NS,State Bank of India
2008-07-10 00:00:00+05:30,2.0,0.0,ICICIBANK.NS,ICICI Bank
2008-07-14 00:00:00+05:30,0.1875,0.0,KOTAKBANK.NS,Kotak Mahindra Bank
2009-05-14 00:00:00+05:30,2.0,0.0,AXISBANK.NS,Axis Bank
2009-06-04 00:00:00+05:30,4.0,0.0,PNB.NS,Punjab National Bank
2009-06-10 00:00:00+05:30,2.9,0.0,SBIN.NS,State Bank of India
2009-06-11 00:00:00+05:30,2.0,0.0,ICICIBANK.NS,ICICI Bank
2009-06-22 00:00:00+05:30,0.5,0.0,HDFCBANK.NS,HDFC Bank
2009-07-14 00:00:00+05:30,0.1875,0.0,KOTAKBANK.NS,Kotak Mahindra Bank
2010-02-04 00:00:00+05:30,2.0,0.0,PNB.NS,Punjab National Bank
2010-02-05 00:00:00+05:30,1.0,0.0,SBIN.NS,State Bank of India
2010-05-20 00:00:00+05:30,2.4,0.0,AXISBANK.NS,Axis Bank
2010-06-09 00:00:00+05:30,2.0,0.0,SBIN.NS,State Bank of India
2010-06-10 00:00:00+05:30,2.181818,0.0,ICICIBANK.NS,ICICI Bank
2010-06-10 00:00:00+05:30,0.6,0.0,HDFCBANK.NS,HDFC Bank
2010-06-30 00:00:00+05:30,0.2125,0.0,KOTAKBANK.NS,Kotak Mahindra Bank
2010-07-08 00:00:00+05:30,2.4,0.0,PNB.NS,Punjab National Bank
2010-09-13 00:00:00+05:30,0.0,2.0,KOTAKBANK.NS,Kotak Mahindra Bank
2011-05-20 00:00:00+05:30,3.0,0.0,SBIN.NS,State Bank of India
2011-06-02 00:00:00+05:30,0.825,0.0,HDFCBANK.NS,HDFC Bank
2011-06-02 00:00:00+05:30,2.545455,0.0,ICICIBANK.NS,ICICI Bank
2011-06-08 00:00:00+05:30,2.8,0.0,AXISBANK.NS,Axis Bank
2011-06-16 00:00:00+05:30,4.4,0.0,PNB.NS,Punjab National Bank
2011-07-12 00:00:00+05:30,0.25,0.0,KOTAKBANK.NS,Kotak Mahindra Bank
2011-07-14 00:00:00+05:30,0.0,5.0,HDFCBANK.NS,HDFC Bank
2012-05-24 00:00:00+05:30,3.5,0.0,SBIN.NS,State Bank of India
2012-05-31 00:00:00+05:30,3.0,0.0,ICICIBANK.NS,ICICI Bank
2012-06-14 00:00:00+05:30,4.4,0.0,PNB.NS,Punjab National Bank
2012-06-14 00:00:00+05:30,3.2,0.0,AXISBANK.NS,Axis Bank
2012-06-28 00:00:00+05:30,1.075,0.0,HDFCBANK.NS,HDFC Bank
2012-07-06 00:00:00+05:30,0.3,0.0,KOTAKBANK.NS,Kotak Mahindra Bank
2013-05-28 00:00:00+05:30,4.15,0.0,SBIN.NS,State Bank of India
2013-05-30 00:00:00+05:30,3.636364,0.0,ICICIBANK.NS,ICICI Bank
2013-06-13 00:00:00+05:30,1.375,0.0,HDFCBANK.NS,HDFC Bank
2013-06-13 00:00:00+05:30,5.4,0.0,PNB.NS,Punjab National Bank
2013-07-04 00:00:00+05:30,0.35,0.0,KOTAKBANK.NS,Kotak Mahindra Bank
2013-07-05 00:00:00+05:30,3.6,0.0,AXISBANK.NS,Axis Bank
2014-02-11 00:00:00+05:30,2.0,0.0,PNB.NS,Punjab National Bank
2014-03-11 00:00:00+05:30,1.5,0.0,SBIN.NS,State Bank of India
2014-05-29 00:00:00+05:30,1.5,0.0,SBIN.NS,State Bank of India
2014-06-04 00:00:00+05:30,4.181818,0.0,ICICIBANK.NS,ICICI Bank
2014-06-05 00:00:00+05:30,4.181818,0.0,ICICIBANK.NS,ICICI Bank
2014-06-05 00:00:00+05:30,1.7125,0.0,HDFCBANK.NS,HDFC Bank
2014-06-12 00:00:00+05:30,4.0,0.0,AXISBANK.NS,Axis Bank
2014-07-04 00:00:00+05:30,0.4,0.0,KOTAKBANK.NS,Kotak Mahindra Bank
2014-07-28 00:00:00+05:30,0.0,5.0,AXISBANK.NS,Axis Bank
2014-11-20 00:00:00+05:30,0.0,10.0,SBIN.NS,State Bank of India
2014-12-04 00:00:00+05:30,0.0,5.0,ICICIBANK.NS,ICICI Bank
2014-12-18 00:00:00+05:30,0.0,5.0,PNB.NS,Punjab National Bank
2015-05-28 00:00:00+05:30,3.5,0.0,SBIN.NS,State Bank of India
2015-06-04 00:00:00+05:30,4.545455,0.0,ICICIBANK.NS,ICICI Bank
2015-06-18 00:00:00+05:30,0.45,0.0,KOTAKBANK.NS,Kotak Mahindra Bank
2015-06-22 00:00:00+05:30,3.3,0.0,PNB.NS,Punjab National Bank
2015-07-02 00:00:00+05:30,2.0,0.0,HDFCBANK.NS,HDFC Bank
2015-07-08 00:00:00+05:30,0.0,2.0,KOTAKBANK.NS,Kotak Mahindra Bank
2015-07-09 00:00:00+05:30,4.6,0.0,AXISBANK.NS,Axis Bank
2016-06-03 00:00:00+05:30,2.6,0.0,SBIN.NS,State Bank of India
2016-06-16 00:00:00+05:30,4.545455,0.0,ICICIBANK.NS,ICICI Bank
2016-06-29 00:00:00+05:30,2.375,0.0,HDFCBANK.NS,HDFC Bank
2016-07-07 00:00:00+05:30,5.0,0.0,AXISBANK.NS,Axis Bank
2016-07-14 00:00:00+05:30,0.5,0.0,KOTAKBANK.NS,Kotak Mahindra Bank
2017-05-26 00:00:00+05:30,2.6,0.0,SBIN.NS,State Bank of India
2017-06-20 00:00:00+05:30,2.272727,1.1,ICICIBANK.NS,ICICI Bank
2017-06-29 00:00:00+05:30,2.75,0.0,HDFCBANK.NS,HDFC Bank
2017-07-06 00:00:00+05:30,5.0,0.0,AXISBANK.NS,Axis Bank
2017-07-12 00:00:00+05:30,0.6,0.0,KOTAKBANK.NS,Kotak Mahindra Bank
2018-05-31 00:00:00+05:30,3.25,0.0,HDFCBANK.NS,HDFC Bank
2018-07-11 00:00:00+05:30,0.7,0.0,KOTAKBANK.NS,Kotak Mahindra Bank
2018-08-24 00:00:00+05:30,1.5,0.0,ICICIBANK.NS,ICICI Bank
2019-06-20 00:00:00+05:30,3.75,0.0,HDFCBANK.NS,HDFC Bank
2019-07-04 00:00:00+05:30,1.0,0.0,AXISBANK.NS,Axis Bank
2019-07-12 00:00:00+05:30,0.8,0.0,KOTAKBANK.NS,Kotak Mahindra Bank
2019-07-22 00:00:00+05:30,1.0,0.0,ICICIBANK.NS,ICICI Bank
2019-08-01 00:00:00+05:30,1.25,0.0,HDFCBANK.NS,HDFC Bank
2019-09-19 00:00:00+05:30,0.0,2.0,HDFCBANK.NS,HDFC Bank
